name,type,value,date
"Daifuku Co., Ltd.",,4167,2018-12-31
Schaefer Holding International GmbH,,3217,2018-12-31
Dematic,,2350,2018-12-31
Honeywell Intelligrated,,1700,2018-12-31
Vanderlande Industries B.V.,,1538,2018-12-31
"Murata Machinery, Ltd.",,1287,2018-12-31
Knapp AG,,1050,2018-12-31
Beumer Group GmbH,,1000,2018-12-31
Swisslog AG,,923,2018-12-31
Material Handling Systems (MHS),,860,2018-12-31
TGW Logistics Group GmbH,,817,2018-12-31
"Witron Logistik + Informatik, GmbH",,637,2018-12-31
Kardex AG,,478,2018-12-31
"Bastian Solutions, LLC",,316,2018-12-31
Elettric 80,,272,2018-12-31
System Logistics SpA,,225,2018-12-31
DMW&H,,214,2018-12-31
viastore systems Inc.,,197,2018-12-31
Lödige Industries GmbH,,188,2018-12-31
Stöcklin Logistik AG,,148,2018-12-31
"Daifuku Co., Ltd.",,3659,2017-12-31
Schaefer Holding International GmbH,,3060,2017-12-31
Dematic,,2267,2017-12-31
Honeywell Intelligrated,,1000,2017-12-31
Vanderlande Industries B.V.,,1538,2017-12-31
"Murata Machinery, Ltd.",,1287,2017-12-31
Knapp AG,,643,2017-12-31
Beumer Group GmbH,,900,2017-12-31
Swisslog AG,,915,2017-12-31
Material Handling Systems (MHS),,0,2017-12-31
TGW Logistics Group GmbH,,742,2017-12-31
"Witron Logistik + Informatik, GmbH",,635,2017-12-31
Kardex AG,,425,2017-12-31
"Bastian Solutions, LLC",,233,2017-12-31
Elettric 80,,261,2017-12-31
System Logistics SpA,,185,2017-12-31
DMW&H,,225,2017-12-31
viastore systems Inc.,,152,2017-12-31
Lödige Industries GmbH,,188,2017-12-31
Stöcklin Logistik AG,,153,2017-12-31
"Daifuku Co., Ltd.",,742,2016-12-31
Schaefer Holding International GmbH,,635,2016-12-31
Dematic,,425,2016-12-31
Honeywell Intelligrated,,233,2016-12-31
Vanderlande Industries B.V.,,261,2016-12-31
"Murata Machinery, Ltd.",,185,2016-12-31
Knapp AG,,225,2016-12-31
Beumer Group GmbH,,152,2016-12-31
Swisslog AG,,188,2016-12-31
Material Handling Systems (MHS),,153,2016-12-31
TGW Logistics Group GmbH,,742,2016-12-31
"Witron Logistik + Informatik, GmbH",,635,2016-12-31
Kardex AG,,425,2016-12-31
"Bastian Solutions, LLC",,233,2016-12-31
Elettric 80,,261,2016-12-31
System Logistics SpA,,185,2016-12-31
DMW&H,,225,2016-12-31
viastore systems Inc.,,152,2016-12-31
Lödige Industries GmbH,,188,2016-12-31
Stöcklin Logistik AG,,153,2016-12-31
